date,key_fingerprint,domain_count
2026-03-10,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-10,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,1
2026-03-10,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-10,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-10,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-03-10,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-03-10,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-03-10,AET+DQBAAAAgACClGRyZU0rijR++/b0HkiFXx97V5uGI99THTDTysaRMZQAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-03-10,AEX+DQBB7wAgACCjpzYBVTwNnGhozE5H6aazZAqPl0A/unUJdQhaCMsfPQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,385
2026-03-10,AEX+DQBBeAAgACAZtMebk2dMaDPfowmimosVuwCXh+WQ5tu8FXwxuOzZUAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-10,AEX+DQBBOwAgACCFt28uz4UJtPCp21OTiLLdCdSm/rt/X8AkwctizAB8BwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-10,AEX+DQBBPAAgACC/iVk0N3zTQNaXuTxnf2y/rgFZNHg35hnG6dDmzlCXQwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,183340
2026-03-10,AJT+DQBEegAgACDB+ASToNZ6AUm+NwyVV9E0zB2KCExC9ciau42Ve3LdDwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBIgQAgACC4Ts/CBzfsK/E5vRnWouxnywrEbbumVuI9H6tXoU8tQwAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA,1
2026-03-10,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-03-24,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-24,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-03-24,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-24,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,2
2026-03-24,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
2026-03-24,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-24,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-03-24,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-03-24,AET+DQBAAAAgACDmLsqBcgP0qv5E4SlJc3XyiHkgVPhBnWQ1kABeQaIscwAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-03-24,AEX+DQBBOwAgACCFt28uz4UJtPCp21OTiLLdCdSm/rt/X8AkwctizAB8BwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-24,AEX+DQBBsQAgACA57k5sgWyMQdcgyEmvYYhuawp4XEnIk6WBAQ+rflS7WwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,179978
2026-03-24,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-03-24,ASj+DQBEegAgACDB+ASToNZ6AUm+NwyVV9E0zB2KCExC9ciau42Ve3LdDwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBEVQAgACDtVtMTYEv+0H4mwI98D14uch2iHKAlPQHEN/Y9CtL+CwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBIgQAgACC4Ts/CBzfsK/E5vRnWouxnywrEbbumVuI9H6tXoU8tQwAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ASPoAIAAgWdXSlNT8PQFFCWxeNyhnXt6QHWFlFQDuj6jqmUsZt3UADAABAAEAAQACAAEAAyERZWNoLmJlbHdheS5mYW1pbHkAAA==,1
2026-03-04,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-04,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-03-04,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-04,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,1
2026-03-04,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-04,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-04,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-03-04,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-03-04,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-03-04,AET+DQBAAAAgACDsJ03VG3jUpCpsUA51RyUh2eNHdA73qxeVFyV1v1ZjRQAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-03-04,AEX+DQBBeAAgACAZtMebk2dMaDPfowmimosVuwCXh+WQ5tu8FXwxuOzZUAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-04,AEX+DQBBMQAgACA1irzD1dXE6ZBMpOUgtN+Y+d7LwiJHBAO2/+3j7sXJfAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,177440
2026-03-04,AEX+DQBBNQAgACAQMWYcqyjf3tcFg3eipEFWtJ+9tG51CfQs+bEr07FQXAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-04,AEX+DQBBOgAgACBT0pA4gdhfJg25AWJcpZQQ8oy7IEsALNc3v6KDqaHuMwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,13
2026-03-04,AEX+DQBBOwAgACCFt28uz4UJtPCp21OTiLLdCdSm/rt/X8AkwctizAB8BwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-04,AJT+DQBEegAgACDB+ASToNZ6AUm+NwyVV9E0zB2KCExC9ciau42Ve3LdDwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBIgQAgACC4Ts/CBzfsK/E5vRnWouxnywrEbbumVuI9H6tXoU8tQwAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA,1
2026-03-04,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-03-15,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-15,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-03-15,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-15,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,1
2026-03-15,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-15,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-15,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-03-15,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-03-15,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-03-15,AET+DQBAAAAgACCcedtj2HQu6YERBYmO2UDmpX9WsvSOMVs6NArTehZgKwAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-03-15,AEX+DQBBagAgACDyTowobkwveqoiQu0P24ZfI+LXYHfQVuMcoKTeUy0ALQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-15,AEX+DQBBjQAgACBaVAkhz2b08islWx+glxNefY5tNXttibGetGfXVpIqEQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,178991
2026-03-15,AEX+DQBBOwAgACCFt28uz4UJtPCp21OTiLLdCdSm/rt/X8AkwctizAB8BwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-15,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-03-15,ASj+DQBEegAgACDB+ASToNZ6AUm+NwyVV9E0zB2KCExC9ciau42Ve3LdDwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBEVQAgACDtVtMTYEv+0H4mwI98D14uch2iHKAlPQHEN/Y9CtL+CwAMAAEAAQABAAIAAQADHQ1lY2guYmVsd2F5Lm1lAAD+DQBIgQAgACC4Ts/CBzfsK/E5vRnWouxnywrEbbumVuI9H6tXoU8tQwAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ASPoAIAAgWdXSlNT8PQFFCWxeNyhnXt6QHWFlFQDuj6jqmUsZt3UADAABAAEAAQACAAEAAyERZWNoLmJlbHdheS5mYW1pbHkAAA==,1
2026-03-13,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-13,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-03-13,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-13,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,2
2026-03-13,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-13,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-13,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-03-13,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-03-13,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-03-13,AET+DQBAAAAgACBX+a8qiD3EheJKxugV+xb4ixuIz22c255ubLkwlj+fGAAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-03-13,AEX+DQBB5AAgACCTznaawJsgcL1DT8Uc3OgswUHTzlWaJtiJji8W0sDqPQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,754
2026-03-13,AEX+DQBBagAgACDyTowobkwveqoiQu0P24ZfI+LXYHfQVuMcoKTeUy0ALQAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-13,AEX+DQBBeAAgACAZtMebk2dMaDPfowmimosVuwCXh+WQ5tu8FXwxuOzZUAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-13,AEX+DQBBOwAgACCFt28uz4UJtPCp21OTiLLdCdSm/rt/X8AkwctizAB8BwAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,1
2026-03-13,AEX+DQBBTgAgACDgjbk5yfc8TCPlqmK8qQK0P9wxbLnT6ZcGwl3v2OrKFAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,185231
2026-03-13,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-03-13,ASj+DQBIgQAgACC4Ts/CBzfsK/E5vRnWouxnywrEbbumVuI9H6tXoU8tQwAMAAEAAQABAAIAAQADIRFlY2guYmVsd2F5LmZhbWlseQAA/g0ASPoAIAAgWdXSlNT8PQFFCWxeNyhnXt6QHWFlFQDuj6jqmUsZt3UADAABAAEAAQACAAEAAyERZWNoLmJlbHdheS5mYW1pbHkAAP4NAER6ACAAIMH4BJOg1noBSb43DJVX0TTMHYoITEL1yJq7jZV7ct0PAAwAAQABAAEAAgABAAMdDWVjaC5iZWx3YXkubWUAAP4NAERVACAAIO1W0xNgS/7QfibAj3wPXi5yHaIcoCU9AcQ39j0K0v4LAAwAAQABAAEAAgABAAMdDWVjaC5iZWx3YXkubWUAAA==,1
2026-03-26,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
2026-03-26,AD7+DQA6JAAgACBSoBLuzZ4cW58Gw4tFHcGfcA8wSPRMdDDeEteTesfVXAAEAAEAAQALcG9ybmh1Yi5jb20AAA==,2
2026-03-26,ADv+DQA34QAgACAfp+tRRhRQ2FS2Dh+3eBu9XYkjisyKJ7gMca5FelPZQAAEAAEAAQAIZS52d3Auc3UAAA==,1
2026-03-26,ADv+DQA3EQAgACArAsqpyIpCm7MtLKNsudSj8DUWb4VCz10MnExCcYn8FQAEAAEAAQAIaWV0Zi5vcmcAAA==,1
2026-03-26,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
2026-03-26,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-03-26,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-03-26,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,3
